UV1,UV2,VIS,NIR
756.5,1291.175,6012.05,4857.6
744.5,1209.175,6017.05,4670.6
727.5,1318.175,6057.05,4817.6
725.5,1272.175,6117.05,4781.6
717.5,1267.175,6008.05,4762.6
753.5,1238.175,5879.05,4720.6
763.5,1261.175,5911.05,4626.6
772.5,1297.175,5879.05,4540.6
751.5,1230.175,6065.05,4764.6
701.5,1242.175,5933.05,4600.6
787.5,1311.175,5974.05,4715.6
782.5,1281.175,5934.05,4704.6
749.5,1265.175,5874.05,4645.6
786.5,1163.175,5899.05,4505.6
751.5,1265.175,5981.05,4615.6
692.5,1230.175,5862.05,4609.6
802.5,1221.175,5862.05,4619.6
841.5,1241.175,5900.05,4640.6
768.5,1316.175,5804.05,4572.6
788.5,1239.175,5847.05,4595.6
815.5,1189.175,5850.05,4554.6
798.5,1179.175,5866.05,4617.6
901.5,1307.175,5849.05,4547.6
869.5,1278.175,5949.05,4431.6
891.5,1252.175,5846.05,4605.6
868.5,1275.175,5760.05,4522.6
892.5,1214.175,5956.05,4582.6
863.5,1300.175,5847.05,4523.6
959.5,1205.175,5887.05,4493.6
932.5,1298.175,5866.05,4552.6
951.5,1272.175,5879.05,4478.6
963.5,1251.175,5995.05,4636.6
970.5,1338.175,5876.05,4433.6
940.5,1279.175,5982.05,4494.6
1009.5,1295.175,6034.05,4467.6
1040.5,1268.175,5972.05,4512.6
1052.5,1220.175,6014.05,4477.6
1104.5,1247.175,5873.05,4386.6
1089.5,1242.175,5892.05,4428.6
1075.5,1244.175,5932.05,4653.6
1157.5,1242.175,5923.05,4559.6
1131.5,1282.175,5816.05,4474.6
1167.5,1236.175,5803.05,4556.6
1239.5,1243.175,5943.05,4487.6
1344.5,1260.175,5895.05,4470.6
1675.5,1307.175,5886.05,4519.6
1916.5,1223.175,5845.05,4594.6
1780.5,1260.175,5900.05,4495.6
1892.5,1244.175,5848.05,4611.6
2025.5,1188.175,5788.05,4576.6
2506.5,1246.175,5806.05,4625.6
2521.5,1216.175,5779.05,4692.6
2101.5,1272.175,5953.05,4611.6
2005.5,1302.175,5741.05,4587.6
2015.5,1272.175,5847.05,4555.6
2202.5,1171.175,5876.05,4798.6
2207.5,1304.175,5952.05,4721.6
1987.5,1314.175,5841.05,4639.6
2029.5,1271.175,5897.05,4757.6
2132.5,1264.175,5698.05,4691.6
2252.5,1290.175,5745.05,4702.6
2450.5,1372.175,5667.05,4694.6
2716.5,1321.175,5703.05,4851.6
2871.5,1320.175,5717.05,4632.6
3325.5,1212.175,5742.05,4711.6
3835.5,1309.175,5753.05,4738.6
5082.5,1238.175,5714.05,4778.6
6929.5,1291.175,5656.05,4905.6
7426.5,1284.175,5827.05,4879.6
6593.5,1272.175,5770.05,4831.6
6730.5,1339.175,5679.05,4930.6
7404.5,1303.175,5760.05,4812.6
9059.5,1294.175,5539.05,5024.6
10908.5,1228.175,5670.05,5029.6
12033.5,1236.175,5704.05,5073.6
12302.5,1320.175,5650.05,5092.6
11235.5,1264.175,5689.05,5221.6
10438.5,1239.175,5700.05,5199.6
10839.5,1314.175,5656.05,5388.6
10105.5,1318.175,5579.05,5254.6
8538.5,1312.175,5680.05,5497.6
7886.5,1276.175,5643.05,5484.6
7730.5,1248.175,5689.05,5723.6
8538.5,1283.175,5727.05,5841.6
10401.5,1265.175,5684.05,6114.6
11774.5,1286.175,5545.05,6380.6
11318.5,1348.175,5596.05,6759.6
9298.5,1344.175,5671.05,7163.6
6908.5,1334.175,5602.05,8068.6
5657.5,1299.175,5507.05,10224.6
4812.5,1341.175,5595.05,14803.6
4198.5,1318.175,5609.05,16479.6
3606.5,1260.175,5606.05,14369.6
3395.5,1335.175,5738.05,12741.6
3151.5,1370.175,5504.05,12705.6
2883.5,1327.175,5624.05,13929.6
2760.5,1291.175,5717.05,18067.6
2744.5,1302.175,5548.05,19570.6
2450.5,1376.175,5646.05,16622.6
2434.5,1311.175,5617.05,13680.6
2244.5,1266.175,5539.05,12226.6
