UV1,UV2,VIS,NIR
1148.225,1052.75,4618.7,3581.25
1498.225,1025.75,4663.7,3481.25
1679.225,1056.75,4526.7,3592.25
1607.225,1049.75,4680.7,3600.25
1805.225,1007.75,4623.7,3698.25
1924.225,955.75,4505.7,3634.25
2479.225,1005.75,4614.7,3686.25
2402.225,1065.75,4641.7,3724.25
2018.225,1087.75,4656.7,3740.25
2025.225,1092.75,4716.7,3847.25
1928.225,1014.75,4673.7,3839.25
2060.225,1045.75,4747.7,3919.25
2021.225,1053.75,4763.7,3812.25
1743.225,1022.75,4512.7,3848.25
1829.225,1071.75,4630.7,3853.25
1952.225,1032.75,4581.7,3893.25
1990.225,1077.75,4606.7,3909.25
2179.225,1091.75,4616.7,3956.25
2318.225,1074.75,4554.7,3990.25
2617.225,1084.75,4575.7,3988.25
3026.225,991.75,4639.7,4020.25
3541.225,1061.75,4619.7,3932.25
4686.225,1102.75,4682.7,4078.25
6367.225,1008.75,4583.7,4023.25
7029.225,1061.75,4548.7,4074.25
6427.225,1048.75,4478.7,4070.25
6467.225,1015.75,4628.7,4224.25
7223.225,1098.75,4503.7,4261.25
8828.225,1085.75,4490.7,4181.25
11207.225,1047.75,4534.7,4337.25
12682.225,1125.75,4645.7,4497.25
12790.225,1088.75,4538.7,4538.25
11510.225,1094.75,4528.7,4592.25
10334.225,1015.75,4459.7,4628.25
10652.225,1068.75,4431.7,4932.25
10243.225,1029.75,4485.7,5104.25
8625.225,1055.75,4517.7,5121.25
7833.225,1040.75,4390.7,5278.25
7677.225,1058.75,4490.7,5522.25
8310.225,1053.75,4466.7,5806.25
10346.225,1143.75,4547.7,6088.25
12131.225,1084.75,4453.7,6418.25
11905.225,1097.75,4543.7,7039.25
9159.225,1174.75,4561.7,7733.25
7127.225,1143.75,4553.7,9165.25
5613.225,1058.75,4392.7,13240.25
4616.225,1073.75,4535.7,21661.25
3969.225,1131.75,4456.7,24603.25
3568.225,1118.75,4439.7,19812.25
3190.225,1186.75,4519.7,16224.25
2939.225,1168.75,4432.7,16000.25
2720.225,1201.75,4454.7,18394.25
2533.225,1146.75,4538.7,26927.25
2430.225,1080.75,4468.7,30712.25
2209.225,1144.75,4526.7,24302.25
2156.225,1011.75,4374.7,18114.25
1978.225,1109.75,4537.7,15485.25
2013.225,1106.75,4581.7,13803.25
1839.225,1045.75,4554.7,12634.25
1809.225,1073.75,4525.7,11649.25
1694.225,1110.75,4559.7,11065.25
1643.225,1095.75,4611.7,11108.25
1611.225,1062.75,4545.7,10921.25
1506.225,1079.75,4583.7,11471.25
1515.225,1101.75,4509.7,12442.25
1401.225,1036.75,4602.7,12618.25
1436.225,1078.75,4744.7,11548.25
1380.225,1078.75,4455.7,11128.25
1323.225,1070.75,4590.7,10939.25
1370.225,1121.75,4529.7,10201.25
1313.225,1057.75,4675.7,9451.25
1266.225,1110.75,4688.7,9074.25
1266.225,1130.75,4572.7,8496.25
1232.225,1042.75,4813.7,8101.25
1267.225,1105.75,4745.7,7852.25
1165.225,1141.75,4748.7,7431.25
1157.225,1024.75,4796.7,7327.25
1125.225,1140.75,4788.7,7422.25
1088.225,1188.75,4821.7,7650.25
1092.225,1043.75,4743.7,7662.25
1119.225,1115.75,4820.7,7003.25
1063.225,1113.75,4720.7,6479.25
1143.225,1065.75,4818.7,6321.25
1088.225,1107.75,4657.7,5941.25
1082.225,1090.75,4688.7,5747.25
1060.225,1032.75,4776.7,5465.25
1072.225,1131.75,4646.7,5277.25
1074.225,1179.75,4795.7,5260.25
1054.225,1072.75,4807.7,5072.25
1071.225,1146.75,4762.7,4937.25
1102.225,1091.75,4820.7,4854.25
1042.225,1086.75,4793.7,4822.25
1033.225,1154.75,4888.7,4724.25
969.225,1133.75,4882.7,4594.25
956.225,1166.75,5069.7,4466.25
1025.225,1094.75,4910.7,4429.25
993.225,1174.75,4877.7,4217.25
979.225,1154.75,4948.7,4368.25
981.225,1151.75,4861.7,4193.25
938.225,1164.75,4701.7,4165.25
1017.225,1144.75,4733.7,4042.25
921.225,1122.75,4719.7,4026.25
1026.225,1126.75,4708.7,3886.25
1023.225,1176.75,4765.7,3766.25
1027.225,1147.75,4725.7,3928.25
1043.225,1101.75,4725.7,3753.25
1061.225,1178.75,4772.7,3711.25
1083.225,1200.75,4642.7,3827.25
1060.225,1149.75,4895.7,3731.25
1112.225,1192.75,4731.7,3700.25
1174.225,1241.75,4783.7,3654.25
1263.225,1216.75,4700.7,3607.25
1284.225,1221.75,4767.7,3473.25
1464.225,1151.75,4734.7,3449.25
